order,combo,o_info
3,"('draw_sum', 'n5_mod7', 'pb_delta')",-0.15610544281139482
3,"('draw_sum', 'n4_delta', 'sum_hurst')",-0.1558531615380545
3,"('draw_range', 'draw_sum', 'n3_mod7')",-0.15578061835081058
3,"('draw_sum', 'draw_sum_roll_mean', 'n5_mod7')",-0.15452275857026976
3,"('draw_range_roll_mean', 'draw_sum', 'n1_mod7')",-0.15375224083689787
3,"('draw_sum', 'n1_mod7', 'pb_delta')",-0.1532170841192837
3,"('draw_range', 'draw_sum', 'n3_delta')",-0.15307485864512316
3,"('draw_std_roll_mean', 'draw_sum', 'n3_mod7')",-0.1526953334267418
3,"('draw_range', 'draw_sum', 'n1_mod7')",-0.15268396361229009
3,"('draw_sum', 'n4_delta2', 'sum_hurst')",-0.15258431845494158
3,"('draw_std', 'draw_sum', 'n4_delta2')",-0.15220226606004417
3,"('draw_sum', 'n2_delta2', 'n3_mod7')",-0.1518061347564199
3,"('draw_range_roll_mean', 'draw_sum', 'n5_mod7')",-0.15149129568312247
3,"('draw_sum', 'n5_mod7', 'sum_hurst')",-0.1509152798089275
3,"('draw_sum', 'n4_mod7', 'pb_delta')",-0.15068888315299844
3,"('draw_range_roll_mean', 'draw_sum', 'n2_delta')",-0.15056492093017937
3,"('draw_std', 'draw_sum', 'n1_delta2')",-0.1504535227549777
3,"('draw_std', 'draw_sum', 'n3_mod7')",-0.14986508644802043
3,"('draw_sum', 'draw_sum_roll_mean', 'n1_delta2')",-0.1498119194613423
3,"('draw_range', 'draw_sum', 'n5_delta2')",-0.14831325486260738
3,"('draw_sum', 'n2_mod7', 'n4_delta2')",-0.14813560468909515
3,"('draw_std', 'draw_sum', 'n1_mod7')",-0.14714956837173787
3,"('draw_range_roll_mean', 'draw_sum', 'n3_delta')",-0.1469934054285389
3,"('draw_sum', 'draw_sum_roll_mean', 'n3_mod7')",-0.1468292317802522
3,"('draw_std_roll_mean', 'draw_sum', 'n1_delta')",-0.14650719907201903
