order,combo,o_info
3,"('draw_std_roll_mean', 'draw_sum', 'n3_mod7')",-0.11012841426156683
3,"('draw_sum', 'mb_delta', 'n2_mod7')",-0.1100918316922801
3,"('draw_sum', 'n4_delta2', 'sum_hurst')",-0.11006346056924521
3,"('draw_range', 'draw_sum', 'mb_delta')",-0.11000775895499615
3,"('draw_std', 'draw_sum', 'n4_delta2')",-0.1097809798612932
3,"('draw_std', 'draw_sum', 'draw_sum_roll_mean')",-0.10939600147091255
3,"('draw_sum', 'n2_mod3', 'n2_mod7')",-0.10841160569840547
3,"('draw_std_roll_mean', 'draw_sum', 'n3_delta2')",-0.10811487953348298
3,"('draw_std', 'draw_sum', 'n5_mod7')",-0.10809221857252993
3,"('draw_std', 'draw_sum', 'n3_delta')",-0.108014884982639
3,"('draw_std_roll_std', 'draw_sum', 'n4_delta')",-0.10754167042325236
3,"('draw_sum', 'draw_sum_roll_mean', 'n5_mod7')",-0.10722008099671854
3,"('draw_sum', 'n1_mod7', 'sum_hurst')",-0.10704917455093366
3,"('draw_sum', 'mb_delta', 'n2_delta2')",-0.10693718863648982
3,"('draw_range_roll_mean', 'draw_std', 'draw_sum')",-0.10690529193713871
3,"('draw_sum', 'n2_delta2', 'n5_mod7')",-0.10662981719650588
3,"('draw_sum', 'n2_delta2', 'n4_mod7')",-0.10646967688243336
3,"('draw_sum', 'n2_delta', 'sum_hurst')",-0.10637361185178129
3,"('draw_sum', 'n3_mod7', 'n4_delta2')",-0.1057742246190756
3,"('draw_std_roll_mean', 'draw_sum', 'n1_delta2')",-0.10550543907462995
3,"('draw_sum', 'n2_delta2', 'n3_mod7')",-0.10539220144169548
3,"('draw_range_roll_mean', 'draw_sum', 'n3_delta2')",-0.10538969161447476
3,"('draw_sum', 'draw_sum_roll_mean', 'n4_mod7')",-0.10536419202400182
3,"('draw_sum', 'n1_mod7', 'n4_delta2')",-0.1051941386632258
3,"('draw_sum', 'mb_delta', 'n4_delta2')",-0.10518366032568949
3,"('draw_sum', 'n2_mod7', 'n4_delta2')",-0.10488456990940342
3,"('draw_sum', 'draw_sum_roll_mean', 'n2_mod7')",-0.10409688531496997
3,"('draw_sum', 'n1_mod7', 'n2_delta2')",-0.10325371203129485
3,"('draw_std', 'draw_sum', 'n3_delta2')",-0.10186445775509156
3,"('draw_sum', 'n1_mod7', 'n4_mod7')",-0.10166058671627809
3,"('draw_std', 'draw_std_roll_mean', 'draw_sum')",-0.10163668719106411
3,"('draw_range', 'draw_sum', 'n3_delta2')",-0.10002320062900338
3,"('draw_sum', 'n3_delta', 'sum_hurst')",-0.09972350809746189
3,"('draw_sum', 'n2_mod7', 'n4_mod7')",-0.09909579492070719
3,"('draw_sum', 'n2_mod7', 'sum_hurst')",-0.09904928455630113
3,"('draw_sum', 'n4_delta2', 'n4_mod7')",-0.09859166638307215
3,"('draw_sum', 'mb_delta', 'n5_mod7')",-0.09849104762702154
3,"('draw_std', 'draw_sum', 'mb_delta')",-0.09831622785559802
3,"('draw_sum', 'mb_delta', 'n3_mod7')",-0.0981291344972739
3,"('draw_sum', 'mb_delta', 'n4_mod7')",-0.09795541343715897
3,"('draw_sum', 'mb_delta', 'n4_delta')",-0.09779121157999171
3,"('draw_std_roll_mean', 'draw_sum', 'n1_delta')",-0.09761692429347946
3,"('draw_range', 'draw_range_roll_mean', 'draw_sum')",-0.09761449401646516
3,"('draw_sum', 'n2_delta', 'n4_mod7')",-0.09757339859957526
3,"('draw_range_roll_std', 'draw_sum', 'n4_delta2')",-0.09657337732281945
3,"('draw_range', 'draw_sum', 'n4_mod7')",-0.09645652889984646
3,"('draw_sum', 'n1_delta2', 'n5_delta2')",-0.09639401504149525
3,"('draw_sum', 'n2_mod7', 'n5_delta2')",-0.09626880983447172
3,"('draw_sum', 'n4_mod7', 'sum_hurst')",-0.09613989033294246
3,"('draw_std_roll_std', 'draw_sum', 'n2_delta')",-0.09612500620772657
3,"('draw_std_roll_std', 'draw_sum', 'n3_delta')",-0.0946760620255862
3,"('draw_sum', 'n3_delta2', 'sum_hurst')",-0.09442485729366723
3,"('draw_sum', 'n3_mod7', 'n5_delta')",-0.0939535402648417
3,"('draw_sum', 'n2_delta2', 'n2_mod7')",-0.09385475279857403
3,"('draw_sum', 'n4_delta2', 'n5_mod7')",-0.09370932844134927
3,"('draw_std_roll_std', 'draw_sum', 'n2_delta2')",-0.09320681659816543
3,"('draw_sum', 'n5_delta2', 'n5_mod7')",-0.09295711092453551
3,"('draw_sum', 'mb_delta', 'n1_mod7')",-0.0927977852580959
3,"('draw_range_roll_std', 'draw_sum', 'n3_delta')",-0.0927402995809441
3,"('draw_std', 'draw_sum', 'n5_delta2')",-0.09203404348350297
3,"('draw_sum', 'n1_delta2', 'n4_mod7')",-0.09197626847758578
3,"('draw_sum', 'n3_delta2', 'n4_mod7')",-0.09193123105035994
3,"('draw_sum', 'n1_delta2', 'n2_mod7')",-0.09190015060481471
3,"('draw_sum', 'draw_sum_roll_std', 'n4_delta')",-0.09155293123242458
3,"('draw_sum', 'n2_mod7', 'n3_delta2')",-0.09154304163764415
3,"('draw_sum', 'n4_mod7', 'n5_delta2')",-0.09132879460558385
